date,game_id,player_name,pts,reb,ast,pra,mp
2025-11-10,202511100UTA,Jusuf Nurkić,6.0,10.0,3.0,19.0,25:23
2025-11-10,202511100UTA,Kyle Filipowski,7.0,3.0,3.0,13.0,26:29
2025-11-10,202511100UTA,Walter Clayton,6.0,3.0,2.0,11.0,17:46
2025-11-10,202511100UTA,Kevin Love,10.0,3.0,1.0,14.0,16:42
2025-11-10,202511100UTA,Isaiah Collier,5.0,3.0,7.0,15.0,15:47
2025-11-10,202511100UTA,Brice Sensabaugh,10.0,4.0,1.0,15.0,11:11
2025-11-10,202511100UTA,Elijah Harkless,0.0,0.0,0.0,0.0,0:00
2025-11-10,202511100UTA,Cody Williams,0.0,0.0,0.0,0.0,0:00
2025-11-11,202511110BRK,Brandon Ingram,25.0,5.0,4.0,34.0,32:42
2025-11-11,202511110BRK,Immanuel Quickley,24.0,8.0,5.0,37.0,31:40
2025-11-11,202511110BRK,Scottie Barnes,15.0,11.0,5.0,31.0,30:38
2025-11-11,202511110BRK,Jakob Poeltl,12.0,10.0,2.0,24.0,29:36
2025-11-11,202511110BRK,RJ Barrett,13.0,4.0,6.0,23.0,28:31
2025-11-11,202511110BRK,Gradey Dick,6.0,3.0,2.0,11.0,19:47
2025-11-11,202511110BRK,Collin Murray-Boyles,9.0,4.0,1.0,14.0,19:36
2025-11-11,202511110BRK,Jamal Shead,6.0,1.0,5.0,12.0,17:47
2025-11-11,202511110BRK,Ja'Kobe Walter,6.0,1.0,0.0,7.0,15:08
2025-11-11,202511110BRK,Jamison Battle,3.0,3.0,1.0,7.0,13:06
2025-11-11,202511110BRK,Jonathan Mogbo,0.0,0.0,0.0,0.0,1:29
2025-11-11,202511110BRK,Garrett Temple,0.0,0.0,0.0,0.0,0:00
2025-11-11,202511110BRK,Michael Porter Jr.,21.0,6.0,3.0,30.0,35:41
2025-11-11,202511110BRK,Nic Claxton,21.0,8.0,4.0,33.0,35:28
2025-11-11,202511110BRK,Noah Clowney,18.0,8.0,3.0,29.0,34:42
2025-11-11,202511110BRK,Terance Mann,9.0,3.0,4.0,16.0,32:28
2025-11-11,202511110BRK,Egor Demin,16.0,4.0,5.0,25.0,27:31
2025-11-11,202511110BRK,Drake Powell,6.0,1.0,3.0,10.0,21:31
2025-11-11,202511110BRK,Ziaire Williams,2.0,2.0,0.0,4.0,17:00
2025-11-11,202511110BRK,Jalen Wilson,9.0,1.0,0.0,10.0,15:35
2025-11-11,202511110BRK,Tyrese Martin,0.0,1.0,1.0,2.0,13:34
2025-11-11,202511110BRK,Tyson Etienne,3.0,0.0,0.0,3.0,2:10
2025-11-11,202511110BRK,Ben Saraf,2.0,1.0,1.0,4.0,2:10
2025-11-11,202511110BRK,Danny Wolf,2.0,1.0,0.0,3.0,2:10
2025-11-11,202511110NYK,Ja Morant,16.0,3.0,10.0,29.0,33:32
2025-11-11,202511110NYK,Jaren Jackson Jr.,19.0,6.0,3.0,28.0,29:40
2025-11-11,202511110NYK,Jaylen Wells,18.0,3.0,4.0,25.0,29:09
2025-11-11,202511110NYK,Jock Landale,8.0,8.0,1.0,17.0,25:51
2025-11-11,202511110NYK,Kentavious Caldwell-Pope,4.0,2.0,0.0,6.0,15:12
2025-11-11,202511110NYK,Cedric Coward,11.0,3.0,5.0,19.0,30:11
2025-11-11,202511110NYK,Santi Aldama,19.0,7.0,3.0,29.0,30:09
2025-11-11,202511110NYK,Vince Williams Jr.,14.0,9.0,6.0,29.0,24:17
2025-11-11,202511110NYK,Cam Spencer,11.0,2.0,4.0,17.0,18:47
2025-11-11,202511110NYK,John Konchar,0.0,1.0,0.0,1.0,3:12
2025-11-11,202511110NYK,PJ Hall,0.0,0.0,0.0,0.0,0:00
2025-11-11,202511110NYK,GG Jackson II,0.0,0.0,0.0,0.0,0:00
2025-11-11,202511110NYK,Olivier-Maxence Prosper,0.0,0.0,0.0,0.0,0:00
2025-11-11,202511110NYK,Mikal Bridges,22.0,7.0,5.0,34.0,38:03
2025-11-11,202511110NYK,Jalen Brunson,32.0,5.0,10.0,47.0,36:08
2025-11-11,202511110NYK,OG Anunoby,16.0,4.0,3.0,23.0,35:34
2025-11-11,202511110NYK,Karl-Anthony Towns,21.0,13.0,4.0,38.0,31:40
2025-11-11,202511110NYK,Landry Shamet,10.0,1.0,0.0,11.0,20:52
2025-11-11,202511110NYK,Josh Hart,8.0,4.0,8.0,20.0,30:19
2025-11-11,202511110NYK,Jordan Clarkson,13.0,3.0,2.0,18.0,16:46
2025-11-11,202511110NYK,Miles McBride,9.0,1.0,2.0,12.0,15:39
2025-11-11,202511110NYK,Guerschon Yabusele,2.0,6.0,1.0,9.0,14:59
2025-11-11,202511110NYK,Pacome Dadiet,0.0,0.0,0.0,0.0,0:00
2025-11-11,202511110NYK,Mohamed Diawara,0.0,0.0,0.0,0.0,0:00
2025-11-11,202511110NYK,Ariel Hukporti,0.0,0.0,0.0,0.0,0:00
2025-11-11,202511110NYK,Trey Jemison,0.0,0.0,0.0,0.0,0:00
2025-11-11,202511110NYK,Tyler Kolek,0.0,0.0,0.0,0.0,0:00
2025-11-11,202511110OKC,Jonathan Kuminga,13.0,3.0,4.0,20.0,23:43
2025-11-11,202511110OKC,Jimmy Butler,12.0,3.0,2.0,17.0,22:10
2025-11-11,202511110OKC,Draymond Green,3.0,2.0,4.0,9.0,21:55
2025-11-11,202511110OKC,Stephen Curry,11.0,1.0,0.0,12.0,19:59
2025-11-11,202511110OKC,Quinten Post,6.0,3.0,2.0,11.0,16:35
2025-11-11,202511110OKC,Trayce Jackson-Davis,6.0,6.0,1.0,13.0,22:20
2025-11-11,202511110OKC,Will Richard,9.0,0.0,1.0,10.0,22:01
2025-11-11,202511110OKC,Brandin Podziemski,10.0,4.0,1.0,15.0,20:34
2025-11-11,202511110OKC,Moses Moody,10.0,0.0,0.0,10.0,20:06
2025-11-11,202511110OKC,Gary Payton II,2.0,6.0,3.0,11.0,14:58
2025-11-11,202511110OKC,Pat Spencer,12.0,1.0,1.0,14.0,12:00
2025-11-11,202511110OKC,Gui Santos,4.0,3.0,0.0,7.0,12:00
2025-11-11,202511110OKC,Buddy Hield,4.0,0.0,4.0,8.0,11:40
2025-11-11,202511110OKC,Ajay Mitchell,17.0,3.0,2.0,22.0,30:54
2025-11-11,202511110OKC,Shai Gilgeous-Alexander,28.0,5.0,11.0,44.0,28:29
2025-11-11,202511110OKC,Chet Holmgren,23.0,11.0,2.0,36.0,24:39
2025-11-11,202511110OKC,Cason Wallace,3.0,1.0,2.0,6.0,20:45
2025-11-11,202511110OKC,Isaiah Hartenstein,8.0,7.0,2.0,17.0,19:33
2025-11-11,202511110OKC,Jaylin Williams,12.0,6.0,5.0,23.0,30:03
2025-11-11,202511110OKC,Isaiah Joe,18.0,1.0,1.0,20.0,29:07
2025-11-11,202511110OKC,Ousmane Dieng,5.0,1.0,0.0,6.0,20:15
2025-11-11,202511110OKC,Brooks Barnhizer,4.0,3.0,0.0,7.0,15:36
2025-11-11,202511110OKC,Alex Caruso,8.0,2.0,3.0,13.0,15:16
2025-11-11,202511110OKC,Chris Youngblood,0.0,0.0,1.0,1.0,5:24
2025-11-11,202511110OKC,Luguentz Dort,0.0,0.0,0.0,0.0,0:00
2025-11-11,202511110PHI,Jaylen Brown,24.0,6.0,5.0,35.0,35:10
2025-11-11,202511110PHI,Derrick White,18.0,5.0,7.0,30.0,35:01
2025-11-11,202511110PHI,Payton Pritchard,5.0,3.0,3.0,11.0,31:23
2025-11-11,202511110PHI,Neemias Queta,8.0,10.0,2.0,20.0,28:40
2025-11-11,202511110PHI,Josh Minott,3.0,1.0,0.0,4.0,8:16
2025-11-11,202511110PHI,Jordan Walsh,8.0,7.0,1.0,16.0,29:18
2025-11-11,202511110PHI,Anfernee Simons,17.0,4.0,5.0,26.0,25:57
2025-11-11,202511110PHI,Sam Hauser,3.0,7.0,0.0,10.0,21:08
2025-11-11,202511110PHI,Luka Garza,9.0,8.0,0.0,17.0,19:20
2025-11-11,202511110PHI,Hugo González,5.0,2.0,0.0,7.0,5:47
2025-11-11,202511110PHI,Chris Boucher,0.0,0.0,0.0,0.0,0:00
2025-11-11,202511110PHI,Ron Harper Jr.,0.0,0.0,0.0,0.0,0:00
2025-11-11,202511110PHI,Baylor Scheierman,0.0,0.0,0.0,0.0,0:00
2025-11-11,202511110PHI,Xavier Tillman Sr.,0.0,0.0,0.0,0.0,0:00
2025-11-11,202511110PHI,VJ Edgecombe,6.0,3.0,3.0,12.0,34:39
2025-11-11,202511110PHI,Tyrese Maxey,21.0,5.0,9.0,35.0,33:39
2025-11-11,202511110PHI,Andre Drummond,14.0,13.0,0.0,27.0,33:20
2025-11-11,202511110PHI,Kelly Oubre Jr.,12.0,7.0,0.0,19.0,30:49
2025-11-11,202511110PHI,Trendon Watford,7.0,2.0,1.0,10.0,21:23
2025-11-11,202511110PHI,Quentin Grimes,18.0,6.0,4.0,28.0,27:50
2025-11-11,202511110PHI,Justin Edwards,22.0,3.0,3.0,28.0,26:39
2025-11-11,202511110PHI,Adem Bona,2.0,4.0,0.0,6.0,14:33
2025-11-11,202511110PHI,Jabari Walker,0.0,0.0,3.0,3.0,10:21
2025-11-11,202511110PHI,Jared McCain,0.0,1.0,1.0,2.0,6:48
2025-11-11,202511110PHI,Eric Gordon,0.0,0.0,0.0,0.0,0:00
2025-11-11,202511110PHI,Kyle Lowry,0.0,0.0,0.0,0.0,0:00
2025-11-11,202511110SAC,Jamal Murray,23.0,3.0,8.0,34.0,37:08
2025-11-11,202511110SAC,Nikola Jokić,35.0,15.0,7.0,57.0,32:47
2025-11-11,202511110SAC,Aaron Gordon,17.0,7.0,3.0,27.0,30:09
2025-11-11,202511110SAC,Christian Braun,12.0,1.0,1.0,14.0,29:42
2025-11-11,202511110SAC,Cameron Johnson,5.0,2.0,2.0,9.0,22:17
2025-11-11,202511110SAC,Bruce Brown,14.0,7.0,1.0,22.0,27:17
2025-11-11,202511110SAC,Tim Hardaway Jr.,6.0,2.0,1.0,9.0,24:06
2025-11-11,202511110SAC,Peyton Watson,0.0,3.0,0.0,3.0,18:17
2025-11-11,202511110SAC,Jonas Valančiūnas,10.0,7.0,1.0,18.0,15:13
2025-11-11,202511110SAC,Julian Strawther,0.0,1.0,0.0,1.0,3:04
